+-----------------------------------------------------------------+---------+
| plugin                                                          | CountOf |
| [exploit-scanner]                                               |       1 |
| [faq-block-for-gutenberg]                                       |       1 |
| [ga-in]                                                         |       1 |
| [agentpress-listings]                                           |       1 |
| [google-site-verification-using-meta-tag]                       |       1 |
| [allow-numeric-stubs]                                           |       1 |
| [drift]                                                         |       1 |
| [hide-admin-toolbar]                                            |       1 |
| [crop-thumbnails]                                               |       1 |
| [intuitive-custom-post-order]                                   |       1 |
| [flash-flickr-slideshow]                                        |       1 |
| [embed-code-generator]                                          |       1 |
| [beaver-builder-lite-version]                                   |       1 |
| [http-security]                                                 |       1 |
| [json-api-auth]                                                 |       1 |
| [grid-archives]                                                 |       1 |
| [if-menu]                                                       |       1 |
| [contact-form-7-get-and-show-parameter-from-url]                |       1 |
| [html-editor-syntax-highlighter]                                |       1 |
| [landing-pages-builder]                                         |       1 |
| [facebook-like-box-widget]                                      |       1 |
| [insert-php-code-snippet]                                       |       1 |
| [jf3-maintenance-mode]                                          |       1 |
| [flamingo]                                                      |       1 |
| [ewww-image-optimizer-cloud]                                    |       1 |
| [check-and-enable-gzip-compression]                             |       1 |
| [clearscope]                                                    |       1 |
| [lenix-elementor-leads-addon]                                   |       1 |
| [debug-bar-console]                                             |       1 |
| [hide-admin-bar]                                                |       1 |
| [limit-login-attempts]                                          |       1 |
| [backup-scheduler]                                              |       1 |
| [dx-delete-attached-media]                                      |       1 |
| [loading-page]                                                  |       1 |
| [newsletter]                                                    |       1 |
| [google-analyticator]                                           |       1 |
| [edd-helpscout]                                                 |       1 |
| [docs2site]                                                     |       1 |
| [header-footer-code-manager]                                    |       1 |
| [disqus-comment-system]                                         |       1 |
| [editor-menu-and-widget-access]                                 |       1 |
| [easy-theme-and-plugin-upgrades]                                |       1 |
| [glotpress]                                                     |       1 |
| [lingotek-translation]                                          |       1 |
| [jetpack-boost]                                                 |       1 |
| [hello-emoji]                                                   |       1 |
| [peters-literal-comments]                                       |       1 |
| [ns-featured-posts]                                             |       1 |
| [embedpress]                                                    |       1 |
| [marketofroms]                                                  |       1 |
| [hubspot-tracking-code]                                         |       1 |
| [filenames-to-latin]                                            |       1 |
| [metronet-profile-picture]                                      |       1 |
| [postmark-approved-wordpress-plugin]                            |       1 |
| [mouseflow-for-wordpress]                                       |       1 |
| [internal-link-builder]                                         |       1 |
| [premium-addons-for-elementor]                                  |       1 |
| [glue-for-yoast-seo-amp]                                        |       1 |
| [restrict-widgets]                                              |       1 |
| [nitropack]                                                     |       1 |
| [multilingual-press]                                            |       1 |
| [multisite-language-switcher]                                   |       1 |
| [multisite-post-duplicator]                                     |       1 |
| [simple-csv-exporter]                                           |       1 |
| [contact-widgets]                                               |       1 |
| [prevent-browser-caching]                                       |       1 |
| [nofollow]                                                      |       1 |
| [oa-social-login]                                               |       1 |
| [guest-author-name]                                             |       1 |
| [publish-to-apple-news]                                         |       1 |
| [simple-social-buttons]                                         |       1 |
| [hide-featured-image]                                           |       1 |
| [custom-permalinks]                                             |       1 |
| [revisionary]                                                   |       1 |
| [igniteup]                                                      |       1 |
| [really-disable-emojis]                                         |       1 |
| [jsonfeed]                                                      |       1 |
| [sb-elementor-contact-form-db]                                  |       1 |
| [social-share-button]                                           |       1 |
| [simple-revisions-delete]                                       |       1 |
| [polylang-theme-strings]                                        |       1 |
| [duplicate-menu]                                                |       1 |
| [string-locator]                                                |       1 |
| [smtp-mailer]                                                   |       1 |
| [disqus]                                                        |       1 |
| [sanitize-spanish-filenames]                                    |       1 |
| [lightbox-photoswipe]                                           |       1 |
| [pwa-for-wp]                                                    |       1 |
| [simple-google-tag-manager]                                     |       1 |
| [searchwp-live-ajax-search]                                     |       1 |
| [real-time-validation-for-gravity-forms]                        |       1 |
| [traffic-counter-widget]                                        |       1 |
| [remove-marketo-form-styles]                                    |       1 |
| [luckywp-table-of-contents]                                     |       1 |
| [lux-vimeo-shortcode]                                           |       1 |
| [tag-cloud-shortcode]                                           |       1 |
| [stop-xmlrpc-attack]                                            |       1 |
| [miniorange-login-openid]                                       |       1 |
| [remove-query-strings-littlebizzy]                              |       1 |
| [sky-login-redirect]                                            |       1 |
| [metronet-tag-manager]                                          |       1 |
| [safe-redirect-manager]                                         |       1 |
| [sharebar]                                                      |       1 |
| [unlimited-elementor-inner-sections-by-taspristudio]            |       1 |
| [simple-page-ordering]                                          |       1 |
| [syndicate-out]                                                 |       1 |
| [wa11y]                                                         |       1 |
| [wp-amazon-ses-smtp]                                            |       1 |
| [watu]                                                          |       1 |
| [ultimate-category-excluder]                                    |       1 |
| [wp-crontrol]                                                   |       1 |
| [playbuzz]                                                      |       1 |
| [kadence-blocks]                                                |       1 |
| [shortcode-ui-richtext]                                         |       1 |
| [post-2-post-for-acf]                                           |       1 |
| [powerpack-lite-for-elementor]                                  |       1 |
| [user-menus]                                                    |       1 |
| [wp-show-ids]                                                   |       1 |
| [most-popular-tags]                                             |       1 |
| [version-control-for-jquery]                                    |       1 |
| [postmatic]                                                     |       1 |
| [postname-permalink-auto-redirect]                              |       1 |
| [allow-multiple-accounts]                                       |       1 |
| [live-drafts]                                                   |       1 |
| [wp-simple-firewall]                                            |       1 |
| [remove-wordfence-2fa]                                          |       1 |
| [wpengine-geoip]                                                |       1 |
| [pinterest-hover-pin-it-button]                                 |       1 |
| [geetest]                                                       |       1 |
| [related-posts-thumbnails]                                      |       1 |
| [zopim-live-chat]                                               |       1 |
| [rest-api]                                                      |       1 |
| [rt-newrelic-browser]                                           |       1 |
| [search-and-replace]                                            |       1 |
| [wp-social-sharing]                                             |       1 |
| [semrush-seo-writing-assistant]                                 |       1 |
| [helpful]                                                       |       1 |
| [simple-trackback-disabler]                                     |       1 |
| [xserver-typesquare-webfonts]                                   |       1 |
| [simply-static]                                                 |       1 |
| [ssl-insecure-content-fixer]                                    |       1 |
| [sucuri-scanner]                                                |       1 |
| [add-category-to-pages]                                         |       1 |
| [simple-custom-css]                                             |       1 |
| [wp-seo-html-sitemap]                                           |       1 |
| [yet-another-related-posts-plugin]                              |       1 |
| [block-lab]                                                     |       1 |
| [better-shortcodes]                                             |       1 |
| [imsanity]                                                      |       1 |
| [post-share-count]                                              |       1 |
| [clean-image-filenames]                                         |       1 |
| [contact-form-7-honeypot]                                       |       1 |
| [live-chat-support-by-social-intents]                           |       1 |
| [epoll-wp-voting]                                               |       1 |
| [mainwp-child]                                                  |       1 |
| [matomo]                                                        |       1 |
| [forminator]                                                    |       1 |
| [custom-user-profile-photo]                                     |       1 |
| [wpsite-show-ids]                                               |       1 |
| [easy-accordion-free]                                           |       1 |
| [elasticpress]                                                  |       1 |
| [camptix-mercadopago]                                           |       1 |
| [camptix-payfast-gateway]                                       |       1 |
| [camptix-network-tools]                                         |       1 |
| [wp-countdown-block]                                            |       1 |
| [multiple-domain]                                               |       1 |
| [export-import-menus]                                           |       1 |
| [coblocks]                                                      |       1 |
| [duo-wordpress]                                                 |       1 |
| [export-custom-pages]                                           |       1 |
| [miniorange-otp-verification]                                   |       1 |
| [envato-elements]                                               |       1 |
| [gutenberg]                                                     |       1 |
| [responsive-lightbox-lite]                                      |       1 |
| [mail-on-update]                                                |       1 |
| [embed-form]                                                    |       1 |
| [wp-mail-bank]                                                  |       1 |
| [editorial-calendar]                                            |       1 |
| [log-viewer]                                                    |       1 |
| [missed-scheduled-posts-publisher]                              |       1 |
| [master-addons]                                                 |       1 |
| [media-sync]                                                    |       1 |
| [post-duplicator]                                               |       1 |
| [wp-export-menus]                                               |       1 |
| [pc-robotstxt]                                                  |       1 |
| [youtube-live-stream-auto-embed]                                |       1 |
| [physical-custom-upload-folder]                                 |       1 |
| [geoip-detect]                                                  |       1 |
| [publish-approval]                                              |       1 |
| [polldaddy]                                                     |       1 |
| [pushup]                                                        |       1 |
| [quick-adsense-reloaded]                                        |       1 |
| [remove-wp-overhead]                                            |       1 |
| [shortcodely]                                                   |       1 |
| [show-hide-author]                                              |       1 |
| [specify-missing-image-dimensions]                              |       1 |
| [international-telephone-input-for-contact-form-7]              |       1 |
| [title-and-nofollow-for-links]                                  |       1 |
| [social-metrics]                                                |       1 |
| [tag-pages]                                                     |       1 |
| [mb-relationships]                                              |       1 |
| [wp-voting-contest]                                             |       1 |
| [modern-media-tweet-shortcode]                                  |       1 |
| [wp-font-awesome]                                               |       1 |
| [wp-anything-downloader]                                        |       1 |
| [wp-bootstrap-blocks]                                           |       1 |
| [network-subsite-user-registration]                             |       1 |
| [wp-htaccess-editor]                                            |       1 |
| [transients-manager]                                            |       1 |
| [wp-htaccess-control]                                           |       1 |
| [wp-ulike]                                                      |       1 |
| [wp-phpmyadmin-extension]                                       |       1 |
| [peters-login-redirect]                                         |       1 |
| [seo-by-rank-math]                                              |       1 |
| [simple-login-log]                                              |       1 |
| [subscribe-to-comments-reloaded]                                |       1 |
| [temporary-login-without-password]                              |       1 |
| [wp-user-avatars]                                               |       1 |
| [wxsync]                                                        |       1 |
| [xml-sitemap-feed]                                              |       1 |
| [yoast-seo-settings-xml-csv-import]                             |       1 |
| [maintenance]                                                   |       1 |
| [optimole-wp]                                                   |       1 |
| [photo-gallery]                                                 |       1 |
| [insert-html-snippet]                                           |       1 |
| [google-sitemap-plugin]                                         |       1 |
| [smart-scroll-posts]                                            |       1 |
| [quiz-master-next]                                              |       1 |
| [slider-wd]                                                     |       1 |
| [users-customers-import-export-for-wp-woocommerce]              |       1 |
| [storefront-hamburger-menu]                                     |       1 |
| [wp-external-links]                                             |       1 |
| [weglot]                                                        |       1 |
| [woocommerce-admin]                                             |       1 |
| [wpdevdesign-browser-detect-for-oxygen]                         |       1 |
| [wp-product-review]                                             |       1 |
| [wp-meta-seo]                                                   |       1 |
| [youtube-shortcode]                                             |       1 |
+-----------------------------------------------------------------+---------+
