+-----------------------------------------------------------------+---------+
| plugin                                                          | CountOf |
| [elegant-custom-fonts]                                          |       7 |
| [google-analytics-dashboard-for-wp]                             |       7 |
| [relevanssi]                                                    |       7 |
| [popup-maker]                                                   |       7 |
| [redis-cache]                                                   |       7 |
| [revision-manager-tmc]                                          |       7 |
| [optinmonster]                                                  |       7 |
| [ultimate-addons-for-gutenberg]                                 |       7 |
| [plugin-load-filter]                                            |       7 |
| [wp-cfm]                                                        |       7 |
| [add-logo-to-admin]                                             |       6 |
| [archive-control]                                               |       6 |
| [better-wp-security]                                            |       6 |
| [bulk-move]                                                     |       6 |
| [cookie-law-info]                                               |       6 |
| [external-media-without-import]                                 |       6 |
| [flexible-posts-widget]                                         |       6 |
| [google-authenticator]                                          |       6 |
| [gravityformscli]                                               |       6 |
| [p3-profiler]                                                   |       6 |
| [reading-time-wp]                                               |       6 |
| [cmb2]                                                          |       6 |
| [responsive-lightbox]                                           |       6 |
| [shortpixel-image-optimiser]                                    |       6 |
| [woocommerce-gateway-stripe]                                    |       6 |
| [wp-downgrade]                                                  |       6 |
| [w3-total-cache]                                                |       6 |
| [worker]                                                        |       6 |
| [wp-force-login]                                                |       6 |
| [wp-maintenance-mode]                                           |       6 |
| [related-posts-for-wp]                                          |       6 |
| [wp-video-lightbox]                                             |       6 |
| [yoast-test-helper]                                             |       6 |
| [syntax-highlighting-code-block]                                |       6 |
| [coschedule-by-todaymade]                                       |       6 |
| [seamless-sticky-custom-post-types]                             |       6 |
| [wptab-tableau-public-viz-block]                                |       6 |
| [acf-to-rest-api]                                               |       5 |
| [application-passwords]                                         |       5 |
| [always-use-jetpack-open-graph]                                 |       5 |
| [automatic-featured-images-from-videos]                         |       5 |
| [breeze]                                                        |       5 |
| [bootstrap-3-shortcodes]                                        |       5 |
| [bracketpress]                                                  |       5 |
| [bulk-remove-posts-from-category]                               |       5 |
| [disable-xml-rpc-pingback]                                      |       5 |
| [easy-wp-smtp]                                                  |       5 |
| [enable-jquery-migrate-helper]                                  |       5 |
| [filter-page-by-template]                                       |       5 |
| [force-regenerate-thumbnails]                                   |       5 |
| [google-calendar-events]                                        |       5 |
| [google-apps-login]                                             |       5 |
| [genesis-title-toggle]                                          |       5 |
| [leadin]                                                        |       5 |
| [login-recaptcha]                                               |       5 |
| [megamenu]                                                      |       5 |
| [jquery-t-countdown-widget]                                     |       5 |
| [frontend-uploader]                                             |       5 |
| [ns-cloner-site-copier]                                         |       5 |
| [stream]                                                        |       5 |
| [password-protected]                                            |       5 |
| [top-10]                                                        |       5 |
| [uk-cookie-consent]                                             |       5 |
| [search-regex]                                                  |       5 |
| [widget-context]                                                |       5 |
| [siteorigin-panels]                                             |       5 |
| [wistia-wordpress-oembed-plugin]                                |       5 |
| [wp-last-modified-info]                                         |       5 |
| [wp-custom-body-class]                                          |       5 |
| [smart-app-banner]                                              |       5 |
| [widget-countdown]                                              |       5 |
| [wp-cron-status-checker]                                        |       5 |
| [wp-showhide]                                                   |       5 |
| [elementskit-lite]                                              |       5 |
| [password-policy-manager]                                       |       5 |
| [eazy-login-logo]                                               |       5 |
| [mailchimp-for-wp]                                              |       5 |
| [simple-tableau-viz]                                            |       5 |
| [velvet-blues-update-urls]                                      |       5 |
| [wp-hide-post]                                                  |       5 |
| [wp-site-migrate]                                               |       5 |
| [wp-slick-slider-and-image-carousel]                            |       5 |
| [vc-templates-import-export]                                    |       5 |
| [widgets-on-pages]                                              |       5 |
| [woocommerce-google-analytics-integration]                      |       5 |
| [woocommerce-pdf-invoices]                                      |       5 |
| [acf-flexible-layouts-manager]                                  |       4 |
| [acf-extended]                                                  |       4 |
| [admin-category-search]                                         |       4 |
| [adrotate]                                                      |       4 |
| [ads-txt]                                                       |       4 |
| [anyclip-media]                                                 |       4 |
| [ap-extended-mime-types]                                        |       4 |
| [atum-stock-manager-for-woocommerce]                            |       4 |
| [auto-quote]                                                    |       4 |
| [background-slider-master]                                      |       4 |
